SpecialDay,Weekend,TrafficType_convert,0.012994886705240107
BounceRates_convert,VisitorType,PageValues_convert,0.011753697825667916
ExitRates_convert,VisitorType,PageValues_convert,0.01493282589740709
Month,SpecialDay,TrafficType_convert,0.01685973585962179
AvgInformational_convert,BounceRates_convert,Revenue,0.028880302912857543
SpecialDay,Weekend,AvgInformational_convert,0.005266042562528227
Month,SpecialDay,OperatingSystems,0.013022929823958316
PageValues_convert,VisitorType,BounceRates_convert,0.030875629574073974
SpecialDay,Month,Revenue,0.02668102583892456
SpecialDay,Weekend,BounceRates_convert,0.013497583855667404
SpecialDay,Month,VisitorType,0.025995933915924675
Browser,OperatingSystems,TrafficType_convert,0.043362798954775295
ExitRates_convert,PageValues_convert,AvgInformational_convert,0.01060410258882513
Month,SpecialDay,Revenue,0.013143099078109746
BounceRates_convert,VisitorType,Revenue,0.016509788060307205
SpecialDay,OperatingSystems,Weekend,0.026291264059364626
BounceRates_convert,ExitRates_convert,AvgInformational_convert,0.03342880167886315
BounceRates_convert,PageValues_convert,AvgInformational_convert,0.009684079147281381
PageValues_convert,BounceRates_convert,AvgAdministrative_convert,0.023384151519222372
BounceRates_convert,AvgInformational_convert,AvgProductRelated_convert,0.021458331798794052
Month,SpecialDay,BounceRates_convert,0.016957260144202783
BounceRates_convert,ExitRates_convert,PageValues_convert,0.04260405028707197
Month,SpecialDay,VisitorType,0.009174805832572078
PageValues_convert,BounceRates_convert,AvgInformational_convert,0.021045464914391646
ExitRates_convert,VisitorType,Revenue,0.01746787849427772
AvgInformational_convert,BounceRates_convert,TrafficType_convert,0.03740047772144584
Month,SpecialDay,ExitRates_convert,0.01786767079531438
SpecialDay,Weekend,AvgAdministrative_convert,0.0049683250251928955
SpecialDay,Browser,VisitorType,0.049707617300847745
ExitRates_convert,VisitorType,AvgAdministrative_convert,0.01340777819599818
PageValues_convert,BounceRates_convert,Revenue,0.034845916609682503
BounceRates_convert,VisitorType,AvgAdministrative_convert,0.014650738453868361
ExitRates_convert,VisitorType,BounceRates_convert,0.03202528261694963
VisitorType,SpecialDay,ExitRates_convert,0.0372403400362287
SpecialDay,Weekend,ExitRates_convert,0.014737274161191274
ExitRates_convert,BounceRates_convert,PageValues_convert,0.025564676538555216
Month,SpecialDay,Browser,0.010610565874380556
SpecialDay,VisitorType,Weekend,0.008789632232444455
VisitorType,SpecialDay,BounceRates_convert,0.025315793320935497
SpecialDay,Weekend,AvgProductRelated_convert,0.009816808168936562
PageValues_convert,SpecialDay,BounceRates_convert,0.02739559392078046
ExitRates_convert,AvgInformational_convert,Revenue,0.025491464326693393
BounceRates_convert,AvgInformational_convert,Revenue,0.01670492221168285
SpecialDay,Browser,Weekend,0.019374193760644573
SpecialDay,Month,OperatingSystems,0.03004036813673653
AvgInformational_convert,BounceRates_convert,PageValues_convert,0.025115538514268954
SpecialDay,Weekend,Revenue,0.0042072975020546344
Month,SpecialDay,AvgProductRelated_convert,0.014685600137072641
ExitRates_convert,BounceRates_convert,Revenue,0.026426135651871734
ExitRates_convert,PageValues_convert,AvgAdministrative_convert,0.009181551009941837
ExitRates_convert,BounceRates_convert,AvgInformational_convert,0.0159887907836295
Month,SpecialDay,Weekend,0.03425677861187654
BounceRates_convert,PageValues_convert,AvgProductRelated_convert,0.03251335335125627
BounceRates_convert,PageValues_convert,AvgAdministrative_convert,0.007620835852745273
